# string sports;categorie;url image
Activités de forme et de santé;Fitness;https://cdn0.iconfinder.com/data/icons/vector-black-hotel-icons/256/fitness_room-512.png
Aikido / Aikibudo / Budo;Sport de combat;https://www.icone-png.com/png/52/51631.png
Aquagym;Piscine;https://pngimg.com/uploads/swimming/swimming_PNG55427.png
Arbalète / Armes anciennes / Bench rest / Silhouettes métalliques / Tir sportif de vitesse;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Ascensionnel;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Attelage;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Autres (Autres);Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Autres Danses;Danse;https://pngimage.net/wp-content/uploads/2018/05/danse-logo-png-3.png
Aviron;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Aéromodélisme;Aviation;https://img2.freepng.fr/20180710/euo/kisspng-airplane-logo-encapsulated-postscript-vehicle-5b44428c9938a1.3750985415312001406276.jpg
Aérostation;Aviation;https://img2.freepng.fr/20180710/euo/kisspng-airplane-logo-encapsulated-postscript-vehicle-5b44428c9938a1.3750985415312001406276.jpg
Bâton;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Badminton, Jeu de volant;Sport de raquette;https://cdn.pixabay.com/photo/2012/04/24/18/18/tennis-40795_960_720.png
Baignade loisirs;Piscine;https://pngimg.com/uploads/swimming/swimming_PNG55427.png
Balle au tambourin;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Ballet sur glace / Danse sur glace / Patinage artistique;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Ballon au poing;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Ballon au poing (Autres);Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Baseball;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Baseball (Autres);Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Basket-Ball;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Bicross (BMX);Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Billard (Français (carambole),Snooker,Anglais,Américain);Billard;https://p7.hiclipart.com/preview/215/103/822/8-ball-pool-magic-8-ball-eight-ball-billiard-balls-clip-art-8-ball-cliparts-thumbnail.jpg
Bobsleigh;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Boules traditionnelles;Sport de boule;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Boules_sports_pictogram.svg/1200px-Boules_sports_pictogram.svg.png
Bowling;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Boxe Américaine;Sport de combat;https://www.icone-png.com/png/52/51631.png
Boxe Anglaise;Sport de combat;https://www.icone-png.com/png/52/51631.png
Boxe française savate;Sport de combat;https://www.icone-png.com/png/52/51631.png
Boxe thaïlandaise Muay Thaï;Sport de combat;https://www.icone-png.com/png/52/51631.png
Canne;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Canoë de randonnée;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Canyonisme;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Carabine (hors 300m) / Pistolet / Plateaux;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Cerf volant;Cerf volant;https://img2.freepng.fr/20180329/ooe/kisspng-kite-drawing-handicraft-carnival-child-kite-5abd6b06e360a5.5209896715223631429313.jpg
Cerf volant de traction (glisse aérotractée) et kitesurf;Cerf volant;https://img2.freepng.fr/20180329/ooe/kisspng-kite-drawing-handicraft-carnival-child-kite-5abd6b06e360a5.5209896715223631429313.jpg
Cesta punta/Mains nues/Pala/Chistera (grande, joko garbi)/Paleta/Xare/Frontenis/Pala corta/Rebot;Cerf volant;https://img2.freepng.fr/20180329/ooe/kisspng-kite-drawing-handicraft-carnival-child-kite-5abd6b06e360a5.5209896715223631429313.jpg
Char à voile (Aéroplage);Cerf volant;https://img2.freepng.fr/20180329/ooe/kisspng-kite-drawing-handicraft-carnival-child-kite-5abd6b06e360a5.5209896715223631429313.jpg
